gene	n.umis	n.tot	efficiency	depth	loss	n.obs	n.reads	n.umis.prefilter	n.reads.prefilter
UMAG_12216:3p	14418	81501	0	0.215	0.823	14418	17508	14418	17508
UMAG_12216:5p	21521	120555	0	0.217	0.821	21521	26189	21521	26189
UMAG_12226:3p	2685	16503	0	0.193	0.837	2685	3194	2685	3194
UMAG_12226:5p	2202	11913	0	0.226	0.815	2202	2697	2202	2697
UMAG_12233:3p	4682	20997	0	0.288	0.777	4682	6038	4682	6038
UMAG_12233:5p	2982	22413	0	0.152	0.867	2982	3417	2982	3417
UMAG_12281:3p	1784	7966	0	0.291	0.776	1784	2312	1784	2312
UMAG_12281:5p	1582	9519	0	0.197	0.834	1582	1886	1582	1886
UMAG_12302:3p	1446	7834	0	0.226	0.815	1446	1769	1446	1769
UMAG_12302:5p	733	5430	0	0.15	0.865	733	826	733	826
UMAG_12313:3p	1239	6514	0	0.234	0.81	1239	1528	1239	1528
UMAG_12313:5p	1323	6235	0	0.271	0.788	1323	1687	1323	1687
UMAG_12330:3p	23811	101550	0	0.307	0.766	23811	31120	23811	31120
UMAG_12330:5p	28598	117870	0	0.321	0.757	28598	37779	28598	37779
UMAG_15020:3p	35	196	0	0.212	0.821	35	36	35	36
UMAG_15020:5p	24	123	0	0.242	0.805	24	24	24	24
ambiguous	90	470	0	0.235	0.808	90	110	90	110
unmatched	39611	244864	0	0.193	0.838	39611	47238	39611	47238
