"knockout"	"is.neutral"	"n.out"	"loss.out"	"abundance.out"	"n.in"	"loss.in"	"abundance.in"	"log2fc"	"low.pval"	"high.pval"	"low.qval"	"high.qval"
"UMAG_00054"	FALSE	12	0.805	30.7692307692308	10	0.924	65.7894736842106	-0.240401262974914	0.435756995310551	0.632544510099013	0.544537586914537	1
"UMAG_00081"	FALSE	979	0.807	2536.26943005181	690	0.935	5307.69230769231	-0.209409594804146	0.174325246698524	0.82741167596138	0.272293153934059	1
"UMAG_00105"	FALSE	676	0.8165	1841.96185286104	1972	0.9185	12098.1595092025	-1.85950536721055	1.77356912008261e-14	0.999999999999983	2.79337136413011e-13	1
"UMAG_00159"	FALSE	10008	0.8455	32388.3495145631	9941	0.9085	54322.4043715848	0.109894746547322	0.730341214123405	0.269908379441191	0.820216847990668	1
"UMAG_00187"	FALSE	54603	0.795	133178.048780488	57995	0.9045	303638.743455498	-0.33303244666357	0.0547779375529508	0.94523599879314	0.112532936929431	1
"UMAG_00420"	FALSE	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
"UMAG_00558"	FALSE	2988	0.8155	8097.56097560975	2207	0.932	16227.9411764706	-0.146953514803116	0.248211424137964	0.752531150511774	0.350089247478173	1
"UMAG_00781"	FALSE	2686	0.809	7031.41361256545	1887	0.9345	14404.5801526718	-0.178673813173986	0.202941265470623	0.797788093429698	0.295247838516693	1
"UMAG_00792"	FALSE	916	0.7975	2261.72839506173	1645	0.915	9676.4705882353	-1.24108811066263	4.50059872734721e-08	0.999999956450677	4.25306579734311e-07	1
"UMAG_00793"	FALSE	13808	0.848	45421.0526315789	15640	0.9355	121240.310077519	-0.560469269538774	0.00403769283310208	0.995967938733331	0.0138749808264781	1
"UMAG_00795"	FALSE	65	0.805	166.666666666667	81	0.9265	551.020408163266	-0.8691730272721	0.00448835342869708	0.996248612464028	0.0149122982863806	1
"UMAG_00823"	FALSE	2588	0.87	9953.84615384615	2600	0.9415	22222.2222222222	-0.302709967871042	0.0769069088962205	0.923470298070079	0.146822280620057	1
"UMAG_00885"	FALSE	2725	0.809	7133.50785340314	1930	0.929	13591.5492957747	-0.0740591946375423	0.373956214819821	0.627032321129979	0.480800847625485	1
"UMAG_01018"	FALSE	19888	0.8545	68343.6426116839	22223	0.9385	180674.796747967	-0.546549091456542	0.00481791439577084	0.995186683596204	0.0154336579796727	1
"UMAG_01082"	FALSE	6719	0.8165	18307.9019073569	7917	0.9275	54600	-0.720467352449602	0.000406628386385981	0.999594739205789	0.00187445768358416	1
"UMAG_01130"	FALSE	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
