gene	n.umis	n.tot	efficiency	depth	loss	n.obs	n.reads	n.umis.prefilter	n.reads.prefilter
UMAG_11464:3p	836	9392	0.397	0.0947	0.911	836	897	836	897
UMAG_11464:5p	843	9183	0.346	0.0978	0.908	843	910	843	910
UMAG_11586:3p	665	10713	0.422	0.0673	0.938	665	690	665	690
UMAG_11586:5p	805	14538	0	0.0608	0.945	805	842	805	842
UMAG_11639:3p	1098	18305	0	0.0652	0.94	1098	1160	1098	1160
UMAG_11639:5p	837	11412	0.0739	0.0791	0.927	837	896	837	896
UMAG_11931:3p	5	65.9	0	0.0821	0.924	5	5	5	5
UMAG_11931:5p	2	26.4	0	0.0821	0.924	2	2	2	2
UMAG_11940:3p	517	6951	0.596	0.0794	0.926	517	541	517	541
UMAG_11940:5p	536	8904	0.915	0.0655	0.94	536	549	536	549
UMAG_12045:3p	1051	15739	0.0746	0.0721	0.933	1051	1115	1051	1115
UMAG_12045:5p	801	10544	0.942	0.0803	0.924	801	833	801	833
UMAG_12127:3p	1194	15832	0.488	0.0801	0.925	1194	1257	1194	1257
UMAG_12127:5p	1314	16206	0.318	0.0865	0.919	1314	1401	1314	1401
UMAG_12197:3p	17329	189925	0.0401	0.0998	0.909	17329	18979	17329	18979
UMAG_12197:5p	17752	192457	0.1	0.101	0.908	17752	19372	17752	19372
UMAG_12216:3p	25468	295483	0	0.0943	0.914	25468	27873	25468	27873
UMAG_12216:5p	26326	305856	0	0.0941	0.914	26326	28808	26326	28808
UMAG_12226:3p	5060	55550	0.475	0.097	0.909	5060	5400	5060	5400
UMAG_12226:5p	4728	60405	0.152	0.084	0.922	4728	5071	4728	5071
UMAG_12233:3p	5143	59960	0.104	0.0928	0.914	5143	5577	5143	5577
UMAG_12233:5p	3237	43322	0.975	0.0782	0.925	3237	3364	3237	3364
UMAG_12281:3p	8339	105053	0	0.0862	0.921	8339	9059	8339	9059
UMAG_12281:5p	5749	69839	0.728	0.0866	0.918	5749	6040	5749	6040
UMAG_12302:3p	983	12380	0.952	0.0836	0.921	983	1025	983	1025
UMAG_12302:5p	756	11425	0.651	0.0709	0.934	756	784	756	784
UMAG_12313:3p	2358	21457	0.703	0.117	0.89	2358	2532	2358	2532
UMAG_12313:5p	1527	16760	0.958	0.0955	0.909	1527	1605	1527	1605
UMAG_12330:3p	21287	227757	0	0.103	0.907	21287	23489	21287	23489
UMAG_12330:5p	20814	224115	0	0.102	0.907	20814	22952	20814	22952
UMAG_15020:3p	57	751	0	0.0821	0.924	57	57	57	57
UMAG_15020:5p	43	567	0	0.0821	0.924	43	43	43	43
ambiguous	273	3584	0.846	0.0813	0.924	273	284	273	284
unmatched	31821	552825	0.12	0.0607	0.942	31821	33512	31821	33512
